item_id,item_key
0,"Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST"
258,"Unit CTA1_08, Section CTA1_08-2	REAL00"
259,"Unit CTA1_08, Section CTA1_08-2	REAL30"
260,"Unit CTA1_08, Section CTA1_08-2	REAL31"
261,"Unit CTA1_08, Section CTA1_08-3	BH1T07"
262,"Unit CTA1_08, Section CTA1_08-3	DEC04"
263,"Unit CTA1_08, Section CTA1_08-3	FEB08"
264,"Unit CTA1_08, Section CTA1_08-3	JAN12"
265,"Unit CTA1_08, Section CTA1_08-3	L5FB02"
266,"Unit CTA1_08, Section CTA1_08-3	NOV13"
267,"Unit CTA1_08, Section CTA1_08-3	PERCENT12"
268,"Unit CTA1_08, Section CTA1_08-3	REAL10"
269,"Unit CTA1_08, Section CTA1_08-3	REAL37"
270,"Unit CTA1_10, Section CTA1_10-1	LDEMO_DIST_SP"
271,"Unit CTA1_10, Section CTA1_10-2	DIST03_SP"
272,"Unit CTA1_10, Section CTA1_10-2	DIST06_SP"
273,"Unit CTA1_10, Section CTA1_10-2	DIST09_SP"
274,"Unit CTA1_10, Section CTA1_10-2	DIST10_SP"
275,"Unit CTA1_10, Section CTA1_10-2	REAL18_SP"
276,"Unit CTA1_10, Section CTA1_10-3	DIST11_SP"
277,"Unit CTA1_10, Section CTA1_10-3	DISTFB01_SP"
278,"Unit CTA1_10, Section CTA1_10-3	DISTFB03_SP"
279,"Unit CTA1_10, Section CTA1_10-3	DISTFB04_SP"
280,"Unit CTA1_10, Section CTA1_10-3	DISTFB05_SP"
281,"Unit CTA1_10, Section CTA1_10-3	DISTFB06_SP"
282,"Unit CTA1_10, Section CTA1_10-4	DIST02_SP"
283,"Unit CTA1_10, Section CTA1_10-4	DISTFB07_SP"
284,"Unit CTA1_10, Section CTA1_10-4	FOR08_SP"
285,"Unit CTA1_10, Section CTA1_10-5	DIST04_SP"
286,"Unit CTA1_10, Section CTA1_10-5	DIST05_SP"
287,"Unit CTA1_10, Section CTA1_10-5	DISTFB08_SP"
288,"Unit CTA1_10, Section CTA1_10-6	DISTFB10_SP"
289,"Unit CTA1_10, Section CTA1_10-6	DISTFB11_SP"
290,"Unit CTA1_10, Section CTA1_10-6	DISTFB12_SP"
291,"Unit CTA1_10, Section CTA1_10-6	DISTFB13_SP"
292,"Unit CTA1_12, Section CTA1_12-1	LDEMO_SYS"
293,"Unit CTA1_12, Section CTA1_12-2	SYS03"
294,"Unit CTA1_12, Section CTA1_12-2	SYS04"
295,"Unit CTA1_12, Section CTA1_12-2	SYSFB17"
296,"Unit CTA1_12, Section CTA1_12-3	SYS02"
297,"Unit CTA1_12, Section CTA1_12-3	SYSFB02"
298,"Unit CTA1_12, Section CTA1_12-3	SYSFB12"
299,"Unit CTA1_12, Section CTA1_12-3	SYSFB21"
300,"Unit CTA1_12, Section CTA1_12-4	SYSFB04"
301,"Unit CTA1_12, Section CTA1_12-4	SYSFB22"
302,"Unit CTA1_12, Section CTA1_12-4	SYSFB23"
303,"Unit CTA1_12, Section CTA1_12-5	SYSFB05"
304,"Unit CTA1_12, Section CTA1_12-5	SYSFB24"
305,"Unit CTA1_12, Section CTA1_12-5	SYSFB25"
306,"Unit CTA1_12, Section CTA1_12-6	SYS01"
307,"Unit CTA1_12, Section CTA1_12-6	SYSFB03"
308,"Unit CTA1_12, Section CTA1_12-6	SYSFB11"
309,"Unit CTA1_13, Section CTA1_13-1	PROP01"
310,"Unit CTA1_13, Section CTA1_13-1	PROP02"
311,"Unit CTA1_13, Section CTA1_13-1	PROP03"
312,"Unit CTA1_13, Section CTA1_13-1	PROP04"
313,"Unit CTA1_13, Section CTA1_13-1	PROP05"
314,"Unit CTA1_13, Section CTA1_13-1	PROP06"
315,"Unit CTA1_13, Section CTA1_13-1	PROP07"
316,"Unit CTA1_13, Section CTA1_13-1	PROP08"
317,"Unit CTA1_13, Section CTA1_13-1	PROP09"
318,"Unit CTA1_13, Section CTA1_13-1	PROP10"
319,"Unit CTA1_13, Section CTA1_13-1	PROP12"
320,"Unit CTA1_13, Section CTA1_13-1	PROP13"
321,"Unit CTA1_14, Section CTA1_14-1	LDEMO_PTY"
322,"Unit CTA1_14, Section CTA1_14-2	1PTB02"
323,"Unit CTA1_14, Section CTA1_14-2	1PTB03"
324,"Unit CTA1_14, Section CTA1_14-2	1PTB07"
325,"Unit CTA1_14, Section CTA1_14-2	1PTB09"
326,"Unit CTA1_14, Section CTA1_14-2	1PTFB11"
327,"Unit CTA1_14, Section CTA1_14-2	1PTFB13"
328,"Unit CTA1_14, Section CTA1_14-2	1PTFB14"
329,"Unit CTA1_14, Section CTA1_14-2	1PTFB15"
330,"Unit CTA1_14, Section CTA1_14-2	DEC05"
331,"Unit CTA1_14, Section CTA1_14-2	IPCBABY"
332,"Unit CTA1_14, Section CTA1_14-2	IPCBASEBALL"
333,"Unit CTA1_14, Section CTA1_14-3	2PTFB12"
334,"Unit CTA1_14, Section CTA1_14-3	2PTFB15"
335,"Unit CTA1_14, Section CTA1_14-3	2PTS01"
336,"Unit CTA1_14, Section CTA1_14-3	2PTS02"
337,"Unit CTA1_14, Section CTA1_14-3	2PTS08"
338,"Unit CTA1_14, Section CTA1_14-4	1PTFB12"
339,"Unit CTA1_14, Section CTA1_14-4	2PTFB10"
340,"Unit CTA1_14, Section CTA1_14-4	2PTFB13"
341,"Unit CTA1_14, Section CTA1_14-4	2PTFB14"
342,"Unit CTA1_14, Section CTA1_14-4	2PTFB16"
343,"Unit CTA1_14, Section CTA1_14-4	2PTFB18"
344,"Unit CTA1_14, Section CTA1_14-4	IPCCHEF"
345,"Unit CTA1_14, Section CTA1_14-4	IPCEVEREST"
346,"Unit CTA1_14, Section CTA1_14-4	IPCRETIREMENT"
347,"Unit CTA1_14, Section CTA1_14-4	IPCTURDUCKEN"
348,"Unit CTA1_14, Section CTA1_14-4	LDEMO_PTPT"
349,"Unit CTA1_14, Section CTA1_14-4	TPH04"
350,"Unit CTA1_14, Section CTA1_14-4	TPH11"
351,"Unit CTA1_14, Section CTA1_14-4	TPH15"
352,"Unit CTA1_15, Section CTA1_15-1	LDEMO_MSYS"
353,"Unit CTA1_15, Section CTA1_15-2	SYS05"
354,"Unit CTA1_15, Section CTA1_15-2	SYS18"
355,"Unit CTA1_15, Section CTA1_15-2	SYSFB09"
356,"Unit CTA1_15, Section CTA1_15-2	SYSFB14"
357,"Unit CTA1_15, Section CTA1_15-2	SYSFB18"
358,"Unit CTA1_15, Section CTA1_15-3	SYS06"
359,"Unit CTA1_15, Section CTA1_15-3	SYS07"
360,"Unit CTA1_15, Section CTA1_15-3	SYS09"
361,"Unit CTA1_15, Section CTA1_15-3	SYS10"
362,"Unit CTA1_15, Section CTA1_15-3	SYSFB06"
363,"Unit CTA1_15, Section CTA1_15-3	SYSFB10"
364,"Unit CTA1_20, Section CTA1_20-1	1PTB05"
365,"Unit CTA1_20, Section CTA1_20-1	1PTFB16"
366,"Unit CTA1_20, Section CTA1_20-1	2PTS03"
367,"Unit CTA1_20, Section CTA1_20-1	IPCSWIMMING"
368,"Unit CTA1_20, Section CTA1_20-2	1PTB04"
369,"Unit CTA1_20, Section CTA1_20-2	1PTB06"
370,"Unit CTA1_20, Section CTA1_20-2	1PTB08"
371,"Unit CTA1_20, Section CTA1_20-2	1PTFB10"
372,"Unit CTA1_20, Section CTA1_20-2	1PTFB17"
373,"Unit CTA1_20, Section CTA1_20-2	1PTFB18"
374,"Unit CTA1_20, Section CTA1_20-2	2PTFB11"
375,"Unit CTA1_20, Section CTA1_20-2	2PTFB19"
376,"Unit CTA1_20, Section CTA1_20-2	2PTFB20"
377,"Unit CTA1_20, Section CTA1_20-2	2PTFB21"
378,"Unit CTA1_20, Section CTA1_20-2	2PTFB22"
379,"Unit CTA1_20, Section CTA1_20-2	2PTS06"
380,"Unit CTA1_20, Section CTA1_20-2	2PTS07"
381,"Unit CTA1_20, Section CTA1_20-2	BH1T45"
382,"Unit CTA1_20, Section CTA1_20-2	IPCPAIGE"
383,"Unit CTA1_20, Section CTA1_20-2	IPCSNOW"
384,"Unit CTA1_20, Section CTA1_20-2	PSNPOLEVAULT"
385,"Unit CTA1_20, Section CTA1_20-2	TOYSALES"
386,"Unit CTA1_21, Section CTA1_21-1	BH1T09"
387,"Unit CTA1_21, Section CTA1_21-1	BH1T12"
388,"Unit CTA1_21, Section CTA1_21-1	BH1T14"
389,"Unit CTA1_21, Section CTA1_21-1	BH1T25"
390,"Unit CTA1_21, Section CTA1_21-2	BH1T49"
391,"Unit CTA1_21, Section CTA1_21-2	FEB12"
392,"Unit CTA1_21, Section CTA1_21-2	NOV06"
393,"Unit CTA1_21, Section CTA1_21-2	NOV09"
394,"Unit CTA1_21, Section CTA1_21-2	NOV11"
395,"Unit CTA1_21, Section CTA1_21-2	PROP17"
396,"Unit CTA1_21, Section CTA1_21-3	DEC06"
397,"Unit CTA1_21, Section CTA1_21-3	FEB07"
398,"Unit CTA1_21, Section CTA1_21-3	JAN07"
399,"Unit CTA1_21, Section CTA1_21-3	JAN08"
400,"Unit CTA1_21, Section CTA1_21-3	NOV14"
401,"Unit CTA1_22, Section CTA1_22-1	SYS08"
402,"Unit CTA1_22, Section CTA1_22-1	SYS19"
403,"Unit CTA1_22, Section CTA1_22-1	SYSFB07"
404,"Unit CTA1_22, Section CTA1_22-1	SYSFB08"
405,"Unit CTA1_22, Section CTA1_22-1	SYSFB13"
406,"Unit CTA1_22, Section CTA1_22-1	SYSFB15"
407,"Unit CTA1_22, Section CTA1_22-1	SYSFB19"
408,"Unit CTA1_22, Section CTA1_22-1	SYSFB20"
409,"Unit CTA1_24, Section CTA1_24-1	BH1T24"
410,"Unit CTA1_24, Section CTA1_24-1	BH1T37"
411,"Unit CTA1_24, Section CTA1_24-1	DEMO_5"
412,"Unit CTA1_24, Section CTA1_24-1	FOR02"
413,"Unit CTA1_24, Section CTA1_24-1	L3FB01"
414,"Unit CTA1_24, Section CTA1_24-1	L3REAL21"
415,"Unit CTA1_24, Section CTA1_24-1	L3REAL45"
416,"Unit CTA1_24, Section CTA1_24-1	L3REAL50"
417,"Unit CTA1_24, Section CTA1_24-1	L5FB05"
418,"Unit CTA1_24, Section CTA1_24-1	NOV05"
419,"Unit CTA1_24, Section CTA1_24-1	PERCENT07"
420,"Unit CTA1_24, Section CTA1_24-1	PERCENT15"
421,"Unit CTA1_24, Section CTA1_24-1	PROP16"
422,"Unit CTA1_24, Section CTA1_24-1	REAL06"
423,"Unit CTA1_24, Section CTA1_24-1	REAL29"
424,"Unit CTA1_25, Section CTA1_25-1	BH1T05"
425,"Unit CTA1_25, Section CTA1_25-1	BH1T46"
426,"Unit CTA1_25, Section CTA1_25-1	BH1T50"
427,"Unit CTA1_25, Section CTA1_25-1	DEC07"
428,"Unit CTA1_25, Section CTA1_25-1	DEMO_10"
429,"Unit CTA1_25, Section CTA1_25-1	FEB06"
430,"Unit CTA1_25, Section CTA1_25-1	FOR01"
431,"Unit CTA1_25, Section CTA1_25-1	PERCENT06"
432,"Unit CTA1_25, Section CTA1_25-1	PERCENT09"
433,"Unit CTA1_25, Section CTA1_25-1	PERCENT18"
434,"Unit CTA1_25, Section CTA1_25-1	PROP11"
435,"Unit CTA1_25, Section CTA1_25-1	REAL33"
436,"Unit CTA1_25, Section CTA1_25-1	REAL35"
437,"Unit CTA1_25, Section CTA1_25-1	REAL36"
438,"Unit CTA1_25, Section CTA1_25-1	REAL48"
439,"Unit CTA1_26, Section CTA1_26-1	BH1T03"
