concept_id,kc
73,"[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]"
74,"[SkillRule: Consolidate vars, no coeff; CLT]"
75,"[SkillRule: Do Multiply - Whole nested; [Typein Skill: Select Multiply/Divide, nested]]"
76,"[SkillRule: Done?; {doneleft; doneright; done no solution; Done No Solution, domain exception; Done No Solution, range exception; done infinite solutions}]"
77,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]"
78,"[SkillRule: Eliminate Parens; {[var expr]/[const expr] = [const expr], multiply; [var expr]*[const expr] = [const expr], divide}]"
79,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}]
80,"[SkillRule: Isolate negative; x+a=b, negative]"
81,"[SkillRule: Isolate positive; x+a=b, positive]"
82,[SkillRule: Make variable positive; {add x in -x; move neg var to other side}]
83,"[SkillRule: Make variable positive; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]"
84,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]
85,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]"
86,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]"
87,"[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]"
88,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]"
89,[SkillRule: Select Combine Terms; CLT]
90,"[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]"
91,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]"
92,[SkillRule: Select Multiply; {MT; MT no fraction coeff}]
93,"[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}]"
94,"[SkillRule: ax+b=c, negative; ax+b=c, negative]"
95,[SkillRule: done infinite solutions; done infinite solutions]
96,"[SkillRule: done no solutions; {done no solution; Done No Solution, domain exception; Done No Solution, range exception}]"
97,[SkillRule: invert-mult; {ivm}]
98,combine-like-terms-r-sp
99,combine-like-terms-sp
100,combine-like-terms-whole-sp
101,distribute-sp
102,factor-quadratic-sp
103,factor-sp
104,perform-mult-r-sp
105,perform-mult-row2-sp
106,perform-mult-sp
107,perform-mult-whole-sp
108,qft-den-sp
109,qft-num1-sp
110,qft-num2-sp
111,simplify-fractions-sp
