item_id,knowledge_code
647,[39]
648,[37]
649,[39]
650,[29]
651,[19]
652,[28]
653,[19]
654,[21]
655,[37]
656,[19]
657,[37]
658,[21]
659,[21]
660,[21]
661,[21]
662,[25]
663,[23]
664,[19]
665,[21]
666,[33]
667,[16]
668,[37]
669,[25]
670,[25]
671,[33]
672,[25]
673,[19]
674,[33]
675,[23]
676,[35]
677,[21]
678,[35]
679,[25]
680,[25]
681,[33]
682,[30]
683,[35]
684,[34]
685,[29]
686,[33]
687,[26]
688,[19]
689,[36]
690,[24]
691,[16]
692,[19]
693,[32]
694,[26]
695,[29]
696,[33]
697,[21]
698,[21]
699,[16]
700,[16]
701,[37]
702,[19]
703,[16]
704,[16]
705,[29]
706,[29]
707,[30]
708,[29]
709,[21]
710,[17]
711,[30]
